,0,1,2,3,4
" ""Carlson""","('Bank Rossiya', 64.36507936507937)","(""'Federal State of Novorossiya'"", 63.49206349206349)","('Narodny Soyuz', 63.296703296703306)","('UralVagonZavod', 62.38095238095238)","('Black Sea Bank for Development and Reconstruction', 61.904761904761905)"
 Martynova Yana Borisovna,"(""Resort 'Nizhnyaya Oreanda'"", 72.71241830065361)","('Donetskaya Narodnaya Respublika', 69.2831541218638)","('Zarya Battalion', 65.55555555555556)","(""Prizrak Battalion 'Ghost' Battalion"", 63.55218855218855)","('Russian National Commercial Bank', 62.88807189542484)"
" ""LONGLEYFAVTO""","('UralVagonZavod', 59.92063492063493)","('Almaz-Antey Corp', 57.837301587301596)","('Almaz-Antey ', 57.07070707070706)","(""'Federativnoye Gosudarstvo Novorossiya'"", 56.78678678678679)","('Donetskaya Narodnaya Respublika', 55.542754736303124)"
" ""Chateau Vain Market""","('Z Interavtomatika (IA)', 69.09356725146199)","(""C 'Interavtomatika'"", 68.81003413511154)","('Peace To Luhansk Region', 66.27983000980713)","(' ""VO Technopromexport""', 62.83891547049441)","('Battalion Gvardeysky', 61.87400318979267)"
" ""Karat-Russ Media""","('Bank of Russia', 67.9761904761905)","('Sberbank of Russia', 64.49915824915826)","('P Sberbank of Russia', 64.44444444444444)","('Bank Rossiya', 63.888888888888886)","('First Crimean Insurance Company', 61.574648469809766)"
" ""Tsarsky House""","('Sberbank of Russia', 64.49430199430199)","('Narodny Soyuz', 64.46886446886447)","('Army of the Southeast', 63.84726384726385)","('Bank Rossiya', 63.56837606837607)","('Army of the South-East', 63.053613053613056)"
IKEKL - General,"('P Integral', 68.01282051282053)","(' Integral', 62.60683760683761)","('Integral', 62.60683760683761)","(""State enterprise 'Universal-Avia'"", 62.38397206139141)","('Industrialny Sberegatelny Bank', 61.639471639471644)"
"Ochu ""Specialist.ru""","('Peace To Luhansk Region', 65.26340004600874)","('Cossack National Guard', 64.28386428386429)","('Luhansk Economic Union', 64.28386428386429)","('Fedosia Oil Products Supply Company', 63.61772486772487)","("" 'VO TPE'"", 62.96296296296296)"
"Ochu ""Specialist""","(""Donbas People's Militia"", 64.62889767237593)","("" 'VO TPE'"", 64.44444444444444)","('P USC', 64.44444444444444)","(""Donbass People's Militia"", 63.96464646464647)","('P Mostotrest', 63.57142857142857)"
 Kochakov-Filatov Victor Alexand,"('C VAD Aktsionernoe Obshchestvo VAD', 66.12078211368699)","('Bank Otkritie Financial Corporation P', 64.29248322656457)","('Somali Battalion', 64.13875103391233)","('Vostok Battalion', 64.13875103391233)","(' 558 Aircraft Repair Plant', 62.51486401012018)"
 Mokhov Alexey Vyacheslavovich,"(""Azovsky likerovodochny zavod'"", 59.3861682604076)","('C VAD Aktsionernoe Obshchestvo VAD', 59.263015551048014)","(""Sobol'"", 56.781609195402304)","('P UAC', 56.781609195402304)","(""So-called Donetsk People's Republic"", 56.54556650246305)"
UFK in Moscow (RSU OIL AND GAS,"('USC', 73.10344827586206)","('Cossack National Guard', 66.48090096365958)","('Fedosia Oil Products Supply Company', 65.93670697118974)","(""International Union of Public Associations 'Great Don Army'"", 64.3205050646067)","(""So-called 'Lugansk People's Republic'"", 63.185550082101805)"
" ""DATEKS SOFTVER""","('Donetsk Republic', 62.40079365079364)","(""'Federal State of Novorossiya'"", 62.301587301587304)","('P Mostotrest', 62.10317460317461)","('Industrialny Sberegatelny Bank', 61.58730158730159)","(""'Federativnoye Gosudarstvo Novorossiya'"", 60.61281061281062)"
" ""MILL.RU""","('Mir Luganschine', 69.68253968253968)","(""International Union of Public Associations 'Great Don Army'"", 59.85797827903091)","(""' 'Sparkling Wine Plant Novy Svet'"", 56.03174603174603)","('First Crimean Insurance Company', 55.852534562211986)","('Fedosia Oil Products Supply Company', 55.23809523809524)"
 Asmersaev Sergey Igorevich,"('Separate Artillery Brigade of the 1st Army Corps', 62.863247863247864)","(""State Unitary Enterprise of the City of Sevastopol 'Sevastopol Sea Port'"", 62.17869087434305)","('Aktsionernoe Obshchestvo Genbank', 61.07183257918551)","(""State enterprise 'Universal-Avia'"", 60.95028030511902)","('Movement ""Novorossiya"" of Igor Strelkov', 60.774337090126565)"
" ""Biko Regions""","('Battalion Gvardeysky', 65.92592592592594)","('Otkritie', 63.888888888888886)","(""Prizrak Battalion 'Ghost' Brigade"", 63.59563375692407)","(""Prizrak Battalion 'Ghost' Battalion"", 62.878787878787875)","('Bank Rossiya', 62.698412698412696)"
" ""Rolf"" branch ""Star Star","('Stroygazmontazh Corporation (SGM Group)', 65.15801515801516)","(""Prizrak Battalion 'Ghost' Brigade"", 64.871540013855)","('Bank of Russia', 64.86291486291486)","('Zarya Battalion', 64.76190476190476)","('Black Sea Bank for Development and Reconstruction', 64.13653180570475)"
 Oleinik Valery Petrovna,"(""' 'Sparkling Wine Plant Novy Svet'"", 69.69997457411644)","('Concern Almaz-Antey', 64.72452033092765)","('Industrialny Sberegatelny Bank', 63.134413185564085)","(""'Federativnoye Gosudarstvo Novorossiya'"", 62.673543108325724)","('Somali Battalion', 61.9927536231884)"
" ""Turbomechanika""","('Sberbank', 67.06349206349206)","('Rostec', 66.34920634920634)","(""C 'Interavtomatika'"", 65.94092182327476)","('P SOVCOMBANK', 64.68253968253968)","('Smert Battalion', 63.650793650793645)"
" ""AVTODIZEL""","(""Azovsky likerovodochny zavod'"", 64.15343915343915)","('VTB', 62.96296296296296)","("" 'VO TPE'"", 62.03703703703704)","('Battalion Gvardeysky', 60.0)","('RDIF', 57.407407407407405)"
" ""Di Pi Ji""","('Crimean Republican Enterprise Azov Distillery Plant', 62.254901960784316)","(""Donbas People's Militia"", 61.413043478260875)","(""Donbass People's Militia"", 61.111111111111114)","(' Feodosia Enterprise of oil', 60.57692307692307)","(""Gosudarstvenoye predpriyatiye Agrofirma 'Magarach' nacionalnogo instituta vinograda i vina 'Magarach'"", 60.143593519882174)"
Gurkin Vyacheslav Anatolyevich,"('UAC', 70.0)","(""' 'Sparkling Wine Plant Novy Svet'"", 64.44444444444444)","(""C 'Interavtomatika'"", 64.43510737628384)","('C VAD Aktsionernoe Obshchestvo VAD', 64.19489007724302)","(""Resort 'Nizhnyaya Oreanda'"", 64.06862745098039)"
 Lobanov Mikhail Glebovich,"('Luhansk Economic Union', 64.94949494949495)","(""Donbas People's Militia"", 63.961352657004824)","('Luganskiy Ekonomicheskiy Soyuz', 61.16339869281045)","('O ""VO TPE""', 60.77777777777777)","(""Prizrak Battalion 'Ghost' Battalion"", 60.7003367003367)"
Transport company ,"("" 'Lenpromtransproyekt'"", 68.81003413511154)","(' Almaz-Antey Corporation', 64.84359630139681)","('Rostec', 64.2483660130719)","("" 'Institute Giprostroymost - Saint-Petersburg'"", 63.82910887932408)","('Tactical Missiles Corporation ', 63.50964789098663)"
Sattors Sattors Svobirovich,"(""'Federativnoye Gosudarstvo Novorossiya'"", 66.04270937604271)","(""State Enterprise 'Sevastopol Commercial Seaport'"", 65.3515834675255)","('Tactical Missiles Corporation ', 64.057295970751)","(""State Unitary Enterprise of the City of Sevastopol 'Sevastopol Sea Port'"", 62.768959435626094)","(""Mostotrest;  'Mostotrest'"", 62.32804232804233)"
 Alekseev Vitaly Sergeevich,"(""' 'Sparkling Wine Plant Novy Svet'"", 63.44729344729344)","(""So-called Donetsk People's Republic"", 61.51475975005387)","(""So-called 'Lugansk People's Republic'"", 61.51475975005387)","(""State Enterprise 'Sparkling Wine Plant 'Novy Svet'"", 61.49208947081287)","('Aktsionernoe Obshchestvo Genbank', 61.07183257918551)"
 Samokhin Sergey Nikolaevich,"('Luganskiy Ekonomicheskiy Soyuz', 68.3068783068783)","('Peace To Luhansk Region', 66.82769726247987)","('Aktsionernoe Obshchestvo Genbank', 66.74382716049382)","('Bank Rossiya', 65.347923681257)","('Movement ""Novorossiya"" of Igor Strelkov', 63.892463892463894)"
" ""EYRBARTER""","('Separate Artillery Brigade of the 1st Army Corps', 61.80555555555555)","('Rostec', 61.11111111111111)","("" 'Lenpromtransproyekt'"", 60.526315789473685)","(""Resort 'Nizhnyaya Oreanda'"", 59.457671957671955)","(' Genbank', 58.730158730158735)"
" ""FEDOSKINA DELETE""","(' Feodosia Enterprise of oil', 66.82692307692308)","('Black Sea Bank of Development and Reconstruction', 66.11111111111111)","('Free Donbas', 65.9090909090909)","('Black Sea Bank for Development and Reconstruction', 65.89852607709751)","(' Black Sea Bank for Development and Reconstruction', 65.89852607709751)"
 Vlasenko Kirill Igorevich,"('Luganskiy Ekonomicheskiy Soyuz', 63.12418300653594)","('VTB Bank (Public )', 61.629629629629626)","(""Prizrak Battalion 'Ghost' Brigade"", 61.45430107526882)","(' ""United Shipbuilding Corporation""', 61.45430107526882)","(""Azovsky likerovodochny zavod'"", 61.21428571428571)"
" ""Loggik Stars""","('Bank Rossiya', 65.27777777777779)","(' Zaliv Shipyard', 64.28571428571429)","("" 'Mostotrest'"", 63.88888888888889)","('Battalion Gvardeysky', 62.22222222222222)","('P Mostotrest', 61.111111111111114)"
 NEZMEEVA Anna Fedorovna,"('Almaz-Antey Defense Corporation', 70.49088359046283)","('Concern Almaz-Antey', 63.443935926773456)","(""Resort 'Nizhnyaya Oreanda'"", 62.57246376811594)","('Black Sea Bank of Development and Reconstruction', 62.47843340234645)","('Black Sea Bank for Development and Reconstruction', 62.18081435472739)"
 STROYTEKH,"('Stroygazmontazh-Most  (SGM-MOST )', 67.3052362707535)","('Rostec', 66.2962962962963)","('Otkritie', 66.01851851851852)","('Stroygazmontazh Corporation (SGM Group)', 65.56556556556556)","("" 'Mostotrest'"", 64.44444444444444)"
" TPK ""VEREND""","(' TPE', 81.33333333333333)","("" 'VO TPE'"", 64.44444444444444)","('VEB.RF', 60.55555555555555)","('The Great Don Army', 60.105820105820094)","('P Integral', 60.0)"
" ""F.Franceli""","('P UAC', 63.33333333333333)","('Luhansk Economic Union', 62.51082251082251)","('UAC', 62.22222222222222)","('P Integral', 62.22222222222222)","('Smert Battalion', 61.111111111111114)"
 FARTRON-TRADE,"('Prizrak Brigade', 67.45726495726495)","('The Great Don Army', 66.75731675731676)","('Battalion Gvardeysky', 65.64102564102564)","(""'Federal State of Novorossiya'"", 64.49938949938951)","(""'Federativnoye Gosudarstvo Novorossiya'"", 63.8022638022638)"
" ""AHS""","('Army of the South-East', 74.09090909090908)","(' Zaliv Shipyard', 62.698412698412696)","('Bank Rossiya', 61.11111111111111)","('Luhansk Economic Union', 60.10101010101009)","('Death Battalion', 60.0)"
 AuroraAvto Belgorod,"(""Prizrak Battalion 'Ghost' Brigade"", 63.42469075915594)","('O ""VO TPE""', 63.30409356725147)","('Cossack National Guard', 63.237639553429034)","('Rostec', 62.57309941520468)","(' ""United Shipbuilding Corporation""', 61.73363516317676)"
" ""OBIT""","('Somali Battalion', 66.66666666666666)","('Battalion Gvardeysky', 65.0)","(""Sobol'"", 63.33333333333333)","(""Prizrak Battalion 'Ghost' Battalion"", 62.37373737373737)","(' Feodosia Enterprise of oil', 62.17948717948718)"
"Chow DPO ""1C-Education""","('Fedosia Oil Products Supply Company', 64.74323062558356)","('Oplot Battalion', 63.91534391534391)","('O ""VO TPE""', 62.301587301587304)","("" 'VO TPE'"", 61.904761904761905)","(' Research and Production Corporation UralVagonZavod', 60.36925647451964)"
" Security company ""AKS Gard-NN""","('So-called ""Luhansk Guard""', 68.4051881622214)","('So-called ""Lugansk Guard""', 68.4051881622214)","(""' 'Sparkling Wine Plant Novy Svet'"", 67.6984126984127)","('Peace To Luhansk Region', 66.44440384849591)","('Sberbank', 65.47619047619048)"
 Toropov Sergey Viktorovich,"(' TPE', 73.46153846153847)","('Movement ""Novorossiya"" of Igor Strelkov', 67.59920455572629)","('Movement Novorossiya of Ignor Strelkov', 67.0539224314968)","(""'Federativnoye Gosudarstvo Novorossiya'"", 64.88961488961489)","(""Azovsky likerovodochny zavod'"", 64.87586487586489)"
" ""satellite car""","('Rostec', 65.8119658119658)","('Smert Battalion', 65.2991452991453)","('Somali Battalion', 64.04914529914531)","('Tactical Missiles Corporation ', 64.00677866195107)","('Sparta Battalion', 62.17948717948718)"
 Oddovnov Gleb Alexandrovich,"('C VAD Aktsionernoe Obshchestvo VAD', 63.974478680361024)","('Aktsionernoe Obshchestvo Genbank', 60.26461510530138)","(""'Federativnoye Gosudarstvo Novorossiya'"", 59.872152854609)","('Donetsk Republic', 59.845679012345684)","(""Azovsky likerovodochny zavod'"", 58.872808382612305)"
Anchor Consulting,"('Luhansk Economic Union', 68.26408885232415)","('Cossack National Guard', 65.32976827094474)","('Peace To Luhansk Region', 64.84359630139681)","('Dobrolet', 63.97058823529412)","(""P 'Chernomorneftegaz'"", 63.818369453044376)"
 Global Realti.,"('Smert Battalion', 65.2991452991453)","('Oplot Battalion', 65.2991452991453)","('Somali Battalion', 64.04914529914531)","('Dobrolet', 62.60683760683761)","('Battalion Gvardeysky', 62.30769230769231)"
" ""ERMI""","('RDIF', 66.66666666666666)","('Concern Almaz-Antey', 63.59649122807017)","(""P 'Chernomorneftegaz'"", 63.59649122807017)","("" 'Lenpromtransproyekt'"", 63.59649122807017)","('First Crimean Insurance Company', 62.634408602150536)"
Bryansk Regional College,"('Bank Rossiya', 67.04545454545455)","(""Resort 'Nizhnyaya Oreanda'"", 66.11111111111111)","('Peace To Luhansk Region', 64.16062801932367)","(""'Luganskaya Narodnaya Respublika' (LNR)"", 63.33099906629318)","('Bank of Russia', 62.68037518037518)"
" ""Company ARENA""","('Concern Almaz-Antey', 68.7154950312845)","('P Promsvyazbank', 65.2991452991453)","('Stroygazmontazh Corporation (SGM Group)', 63.8022638022638)","(""P 'Chernomorneftegaz'"", 63.18488529014844)","('Cossack National Guard', 61.8006993006993)"
" ""Timfoy""","('RDIF', 61.11111111111111)","(""'Federativnoye Gosudarstvo Novorossiya'"", 58.94894894894895)","(""State Enterprise 'Magarach' of the National Institute of Wine"", 57.269303201506595)","('Federal State Budgetary Enterprise \'Sanatorium ""Nizhnyaya Oreanda""\' of the Administration of the President of the Russian Federation', 57.11805555555555)","(""Federal State Budgetary Enterprise 'Production-Agrarian Union 'Massandra' of the Administration of the President of the Russian Federation"", 57.03703703703704)"
" ""SKS"" Treding ""","('Donetsk Republic', 64.5412457912458)","(""Azovsky likerovodochny zavod'"", 62.93290043290044)","(' TPE', 61.61616161616161)","('Industrialny Sberegatelny Bank', 61.41414141414141)","('Cossack National Guard', 61.36363636363637)"
" ""TET""","('The Great Don Army', 75.00000000000001)","(""C 'Interavtomatika'"", 72.54901960784315)","('Z Interautomatica', 72.54901960784315)","('Z Interavtomatika (IA)', 71.66666666666667)","(' ""United Aircraft Corporation""', 70.37037037037037)"
" ""MONOLIT ISTAYT""","('Oplot Battalion', 67.35449735449735)","('P Mostotrest', 66.26984126984127)","('Mostotrest, P', 66.26984126984127)","('Movement ""Novorossiya"" of Igor Strelkov', 64.38223938223938)","('Movement Novorossiya of Ignor Strelkov', 64.09774436090225)"
" ""DENERARAER""","(""'Federal State of Novorossiya'"", 65.35714285714286)","('Industrialny Sberegatelny Bank', 62.22222222222222)","(' Research and Production Corporation UralVagonZavod', 61.92592592592593)","(' ""United Aircraft Corporation""', 61.543209876543216)","('United Aircraft Corporation', 61.543209876543216)"
" ""STO Zhukova""","('Sovkombank', 65.15151515151516)","(""Resort 'Nizhnyaya Oreanda'"", 60.35353535353535)","('So-called ""Luhansk Guard""', 59.92847731978167)","('P SOVCOMBANK', 59.704184704184705)","('Vostok Battalion', 59.60497835497836)"
 Hermes.,"(""P 'Chernomorneftegaz'"", 69.88304093567251)","("" 'The Berkatit-Tommot-Yakutsk Railway Line's Construction Directorate'"", 64.09618573797678)","('The Great Don Army', 62.96296296296296)","('State Corporation for the Promotion of the Development, Manufacture and Export of High Technology Products ""Rostec""', 62.89682539682539)","("" 'Lenpromtransproyekt'"", 62.57309941520468)"
" ""PARUS""","('P USC', 76.0)","('Bank of Russia', 69.52380952380953)","('P Sberbank (Public  Sberbank)', 66.41025641025641)","('Peace To Luhansk Region', 65.79710144927536)","(""State enterprise 'Universal-Avia'"", 65.3763440860215)"
" ""City22""","(""C 'Interavtomatika'"", 55.88235294117647)","('Industrialny Sberegatelny Bank', 53.333333333333336)","(' Integral', 52.77777777777778)","('Integral', 52.77777777777778)","("" 'Institute Giprostroymost - Saint-Petersburg'"", 52.4390243902439)"
" ""Veles Pris""","('VEB.RF', 68.88888888888887)","(""People's Union"", 63.8095238095238)","(' Feodosia Enterprise of oil', 61.92307692307693)","('P Sberbank (Public  Sberbank)', 61.92307692307693)","('Donetsk Republic', 61.72619047619047)"
" ""NPO"" Bavilon ""","('Vostok Battalion', 68.2449494949495)","('P SOVCOMBANK', 67.2979797979798)","('Somali Battalion', 65.9090909090909)","('Sparta Battalion', 65.9090909090909)","('Oplot Battalion', 65.79124579124579)"
" ""SBSB-Klychavto British""","('Sberbank of Russia', 64.30976430976432)","('Aktsionernoe Obshchestvo Genbank', 62.689393939393945)","(' CB IS Bank', 59.62121212121212)","('Smert Battalion', 59.562289562289564)","('Industrial Savings Bank', 59.05036991993514)"
 Pinky Yuri Yuryevich,"('P UAC', 58.333333333333336)","('P USC', 58.333333333333336)","('Luganskiy Ekonomicheskiy Soyuz', 57.93650793650793)","(""State enterprise 'Universal-Avia'"", 57.90322580645161)","('P United Shipbuilding Corporation', 57.87490287490288)"
